time,ENV.pressure.Pa,ENV.temperature.K,PHOT.jbrcl.s-1,PHOT.jbro.s-1,PHOT.jbrono2_a.s-1,PHOT.jbrono2_b.s-1,PHOT.jccl4.s-1,PHOT.jcf2cl2.s-1,PHOT.jcf2clbr.s-1,PHOT.jcf3br.s-1,PHOT.jcfc113.s-1,PHOT.jcfc114.s-1,PHOT.jcfc115.s-1,PHOT.jcfcl3.s-1,PHOT.jch2br2.s-1,PHOT.jch2o_a.s-1,PHOT.jch2o_b.s-1,PHOT.jchbr3.s-1,PHOT.jch3ccl3.s-1,PHOT.jch3cl.s-1,PHOT.jch3ooh.s-1,PHOT.jch4_a.s-1,PHOT.jch4_b.s-1,PHOT.jcl2.s-1,PHOT.jcl2o2.s-1,PHOT.jclo.s-1,PHOT.jclono2_a.s-1,PHOT.jclono2_b.s-1,PHOT.jco2.s-1,PHOT.jh2402.s-1,PHOT.jh2o_a.s-1,PHOT.jh2o_b.s-1,PHOT.jh2o_c.s-1,PHOT.jhbr.s-1,PHOT.jhcfc141b.s-1,PHOT.jhcfc142b.s-1,PHOT.jhcfc22.s-1,PHOT.jhcl.s-1,PHOT.jhno3.s-1,PHOT.jho2no2_a.s-1,PHOT.jho2no2_b.s-1,PHOT.jhobr.s-1,PHOT.jhocl.s-1,PHOT.jn2o.s-1,PHOT.jn2o5_a.s-1,PHOT.jn2o5_b.s-1,PHOT.jno.s-1,PHOT.jno3_a.s-1,PHOT.jno3_b.s-1,PHOT.jo2_a.s-1,PHOT.jo2_b.s-1,PHOT.jo3_a.s-1,PHOT.jo3_b.s-1,PHOT.joclo.s-1,PHOT.jno2.s-1,PHOT.jch3br.s-1,PHOT.jh2o2.s-1
18000,70.59565978,263.0966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19800,70.59565978,263.4069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21600,70.59565978,263.7438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23400,70.59565978,264.0689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25200,70.59565978,264.3459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27000,70.59565978,264.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28800,70.59565978,264.8065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30600,70.59565978,265.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32400,70.59565978,265.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34200,70.59565978,265.2554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36000,70.59565978,265.2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37800,70.59565978,265.1725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39600,70.59565978,265.0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41400,70.59565978,264.7712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43200,70.59565978,264.4489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45000,70.59565978,264.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46800,70.59565978,263.5875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48600,70.59565978,263.1027,0.005673678,0.009897688,0.000159313,0.000390041,1.62E-09,3.23E-11,6.03E-09,5.70E-10,5.71E-11,3.85E-12,3.24E-13,5.15E-10,1.67E-08,1.74E-06,1.60E-05,9.57E-08,8.29E-10,8.56E-12,8.52E-07,0,0,0.000787764,0.00052133,9.50E-07,1.19E-05,7.69E-07,0,4.94E-09,0,0,0,2.54E-09,9.18E-11,6.23E-13,1.77E-13,1.52E-11,2.47E-08,1.03E-07,1.02E-05,0.000984139,7.58E-05,2.47E-11,5.20E-06,1.96E-08,0,0.07941023,0.004158729,0,3.18E-14,4.12E-07,0.00016916,0.0303544,0.004130191,2.71E-09,8.01E-07
50400,70.59565978,262.5914,0.0106329,0.04417098,0.000514853,0.001260503,1.06E-05,5.07E-07,3.72E-05,3.57E-06,6.29E-07,4.83E-08,3.35E-09,4.31E-06,0.000105065,6.53E-05,7.97E-05,0.000235619,6.44E-06,1.09E-07,1.84E-05,0,0,0.002626133,0.003176896,0.001876654,0.000143745,7.80E-05,2.22E-11,3.13E-05,8.77E-10,0,0,1.72E-05,1.03E-06,8.68E-09,2.14E-09,1.65E-07,4.06E-05,2.47E-05,0.000103015,0.002555316,0.000386297,2.33E-07,9.13E-05,0.000114598,6.57E-08,0.1839866,0.01024354,0,2.13E-10,0.001122249,0.000557983,0.07094783,0.009535355,1.72E-05,3.01E-05
52200,70.59565978,262.1378,0.01235287,0.05142837,0.00066374,0.001625018,1.90E-05,1.00E-06,7.78E-05,6.89E-06,1.17E-06,9.40E-08,6.34E-09,7.55E-06,0.000246053,7.67E-05,9.49E-05,0.00062674,1.12E-05,2.15E-07,3.26E-05,0,0,0.00306702,0.004777533,0.00356551,0.000277835,0.000164447,7.93E-11,6.33E-05,4.23E-09,0,0,3.08E-05,1.90E-06,1.72E-08,4.22E-09,3.09E-07,6.99E-05,5.26E-05,0.000210121,0.003036572,0.000476897,4.08E-07,0.000138231,0.000229938,3.16E-07,0.2057803,0.01131543,0,4.52E-10,0.003290039,0.000847316,0.08304539,0.01115463,3.32E-05,5.67E-05
54000,70.59565978,261.7361,0.01366178,0.05697191,0.000747331,0.001829672,2.17E-05,1.25E-06,9.16E-05,7.90E-06,1.41E-06,1.16E-07,7.69E-09,8.74E-06,0.00029744,8.24E-05,0.000105379,0.00079713,1.28E-05,2.67E-07,3.87E-05,0,0,0.003400866,0.005640254,0.004307457,0.000333111,0.000198956,1.25E-10,7.39E-05,8.05E-09,0,0,3.49E-05,2.28E-06,2.14E-08,5.28E-09,3.74E-07,7.99E-05,6.44E-05,0.000255517,0.003360444,0.00053309,4.75E-07,0.000161177,0.000270946,5.14E-07,0.225262,0.01238913,0,5.51E-10,0.004406549,0.001016207,0.09223132,0.01238711,3.82E-05,6.82E-05
55800,70.59565978,261.6383,0.01461854,0.06106845,0.000800607,0.001960107,2.30E-05,1.41E-06,9.80E-05,8.36E-06,1.56E-06,1.31E-07,8.54E-09,9.40E-06,0.000321323,8.64E-05,0.000112869,0.000879941,1.37E-05,3.01E-07,4.19E-05,1.41E-33,1.72E-33,0.003645643,0.006131405,0.004673781,0.000360634,0.000215598,1.62E-10,7.88E-05,1.18E-08,2.17E-34,2.61E-34,3.68E-05,2.52E-06,2.43E-08,5.99E-09,4.14E-07,8.48E-05,7.02E-05,0.000277808,0.003589567,0.000570659,5.12E-07,0.000173661,0.000290063,6.76E-07,0.2405151,0.01324596,2.01E-36,6.13E-10,0.00496546,0.001113987,0.09890322,0.01327986,4.05E-05,7.40E-05
57600,70.59565978,261.5183,0.0155056,0.06465115,0.00084494,0.002068646,2.38E-05,1.53E-06,0.000102084,8.65E-06,1.66E-06,1.41E-07,9.17E-09,9.84E-06,0.000336773,8.98E-05,0.000119316,0.000934525,1.42E-05,3.26E-07,4.41E-05,7.96E-28,9.73E-28,0.003861741,0.006500082,0.004919978,0.000379479,0.000226639,1.93E-10,8.19E-05,1.54E-08,1.23E-28,1.48E-28,3.80E-05,2.68E-06,2.64E-08,6.53E-09,4.44E-07,8.79E-05,7.41E-05,0.000292579,0.003793767,0.000602051,5.38E-07,0.000182724,0.000302463,8.16E-07,0.2559481,0.01412832,9.04E-31,6.61E-10,0.005338511,0.001191277,0.1048822,0.0140791,4.19E-05,7.80E-05
59400,70.59565978,261.4182,0.01616514,0.06730118,0.000876213,0.002145211,2.44E-05,1.62E-06,0.000104375,8.81E-06,1.74E-06,1.49E-07,9.64E-09,1.02E-05,0.000345458,9.23E-05,0.000124036,0.000965762,1.46E-05,3.45E-07,4.55E-05,2.54E-24,3.10E-24,0.004021214,0.006741846,0.005065468,0.000390738,0.000233027,2.18E-10,8.37E-05,1.88E-08,3.92E-25,4.70E-25,3.88E-05,2.80E-06,2.81E-08,6.94E-09,4.66E-07,8.98E-05,7.64E-05,0.000301199,0.003943876,0.000624623,5.56E-07,0.000188556,0.000309394,9.35E-07,0.2679809,0.01482232,2.51E-27,6.99E-10,0.005554551,0.001243385,0.1092765,0.01466575,4.27E-05,8.04E-05
61200,70.59565978,261.3203,0.01690186,0.07001793,0.000907487,0.002221778,2.48E-05,1.68E-06,0.000106351,8.94E-06,1.79E-06,1.55E-07,1.00E-08,1.04E-05,0.000353234,9.49E-05,0.000129008,0.000990669,1.49E-05,3.60E-07,4.66E-05,5.00E-22,6.11E-22,0.004187891,0.006968017,0.005187694,0.000400048,0.000238127,2.39E-10,8.51E-05,2.20E-08,7.72E-23,9.27E-23,3.93E-05,2.89E-06,2.93E-08,7.27E-09,4.83E-07,9.12E-05,7.82E-05,0.00030833,0.004105162,0.000647233,5.68E-07,0.000192571,0.000315023,1.03E-06,0.2820086,0.01558258,4.52E-25,7.32E-10,0.005731322,0.001295359,0.1140133,0.01528358,4.34E-05,8.24E-05
63000,70.59565978,261.2423,0.01726531,0.07150153,0.000924404,0.002263196,2.51E-05,1.73E-06,0.000107389,9.01E-06,1.84E-06,1.60E-07,1.03E-08,1.05E-05,0.000357184,9.64E-05,0.000131639,0.001005034,1.51E-05,3.72E-07,4.73E-05,1.83E-20,2.24E-20,0.004276493,0.007093515,0.005257919,0.000405451,0.000241118,2.56E-10,8.59E-05,2.47E-08,2.83E-21,3.39E-21,3.97E-05,2.96E-06,3.03E-08,7.53E-09,4.96E-07,9.22E-05,7.93E-05,0.000312383,0.004188132,0.000659757,5.78E-07,0.00019558,0.000318155,1.12E-06,0.288952,0.01598622,1.56E-23,7.57E-10,0.005831677,0.001322936,0.1164218,0.01560428,4.37E-05,8.36E-05
64800,70.59565978,261.1413,0.01766099,0.07298512,0.000941496,0.002305042,2.53E-05,1.77E-06,0.000108257,9.07E-06,1.87E-06,1.64E-07,1.05E-08,1.07E-05,0.000360486,9.79E-05,0.000134252,0.00101706,1.53E-05,3.81E-07,4.79E-05,2.19E-19,2.68E-19,0.004366905,0.007210515,0.005317374,0.000410225,0.000243661,2.69E-10,8.66E-05,2.70E-08,3.39E-20,4.07E-20,4.00E-05,3.01E-06,3.11E-08,7.74E-09,5.07E-07,9.29E-05,8.02E-05,0.000315773,0.004275077,0.000672034,5.86E-07,0.00019828,0.000320792,1.18E-06,0.2967534,0.016441,1.79E-22,7.78E-10,0.005915839,0.001350366,0.11896,0.01594267,4.40E-05,8.46E-05
66600,70.59565978,261.0199,0.0177817,0.07355236,0.0009478,0.002320476,2.54E-05,1.80E-06,0.000108712,9.10E-06,1.90E-06,1.67E-07,1.07E-08,1.08E-05,0.000362218,9.86E-05,0.000135266,0.001023376,1.54E-05,3.87E-07,4.82E-05,1.18E-18,1.44E-18,0.004399625,0.007261863,0.005348659,0.000412505,0.000244966,2.80E-10,8.69E-05,2.88E-08,1.82E-19,2.18E-19,4.02E-05,3.05E-06,3.16E-08,7.88E-09,5.14E-07,9.34E-05,8.07E-05,0.000317572,0.004304552,0.000676964,5.91E-07,0.000199577,0.000322153,1.23E-06,0.2990893,0.01657854,9.38E-22,7.93E-10,0.005959966,0.001361053,0.1197958,0.01605344,4.42E-05,8.51E-05
68400,70.59565978,260.8692,0.01804899,0.07446797,0.000958431,0.002346503,2.56E-05,1.82E-06,0.000109101,9.13E-06,1.91E-06,1.69E-07,1.08E-08,1.08E-05,0.000363699,9.94E-05,0.000136864,0.001028806,1.55E-05,3.92E-07,4.85E-05,3.41E-18,4.17E-18,0.004456653,0.007327075,0.005376612,0.000414906,0.000246154,2.87E-10,8.72E-05,3.01E-08,5.26E-19,6.32E-19,4.03E-05,3.08E-06,3.20E-08,7.98E-09,5.19E-07,9.37E-05,8.11E-05,0.000319131,0.004361046,0.000684368,5.95E-07,0.000201005,0.000323334,1.26E-06,0.3045949,0.01690092,2.67E-21,8.04E-10,0.005998189,0.001377838,0.1214495,0.01627411,4.43E-05,8.56E-05
70200,70.59565978,260.6913,0.01815091,0.07479259,0.000962237,0.002355822,2.56E-05,1.83E-06,0.000109205,9.14E-06,1.92E-06,1.70E-07,1.08E-08,1.09E-05,0.000364094,9.97E-05,0.000137425,0.001030235,1.55E-05,3.94E-07,4.86E-05,5.88E-18,7.18E-18,0.004477272,0.007348274,0.005384106,0.000415615,0.000246474,2.90E-10,8.73E-05,3.08E-08,9.07E-19,1.09E-18,4.04E-05,3.09E-06,3.22E-08,8.04E-09,5.21E-07,9.38E-05,8.12E-05,0.00031957,0.004381957,0.00068694,5.97E-07,0.000201443,0.000323635,1.28E-06,0.3067339,0.01702606,4.56E-21,8.09E-10,0.006008048,0.001383737,0.1220645,0.01635627,4.44E-05,8.57E-05
72000,70.59565978,260.4912,0.01799272,0.07438285,0.00095725,0.002343612,2.56E-05,1.83E-06,0.000109221,9.14E-06,1.92E-06,1.70E-07,1.08E-08,1.09E-05,0.000364153,9.94E-05,0.000136734,0.001030435,1.55E-05,3.94E-07,4.85E-05,6.34E-18,7.75E-18,0.004449516,0.007328814,0.005383951,0.000415254,0.000246453,2.91E-10,8.73E-05,3.09E-08,9.79E-19,1.18E-18,4.04E-05,3.09E-06,3.22E-08,8.04E-09,5.22E-07,9.38E-05,8.12E-05,0.000319589,0.004351936,0.000683915,5.97E-07,0.000201164,0.000323682,1.28E-06,0.3033469,0.01682881,4.92E-21,8.10E-10,0.006009298,0.001376559,0.1211628,0.01623525,4.44E-05,8.57E-05
73800,70.59565978,260.2803,0.01801647,0.07439881,0.000956648,0.002342138,2.55E-05,1.82E-06,0.00010922,9.12E-06,1.91E-06,1.69E-07,1.08E-08,1.08E-05,0.000364424,9.94E-05,0.00013694,0.001028229,1.55E-05,3.92E-07,4.85E-05,4.32E-18,5.27E-18,0.004451629,0.007324811,0.005377929,0.000414369,0.00024593,2.88E-10,8.71E-05,3.04E-08,6.66E-19,7.99E-19,4.03E-05,3.08E-06,3.20E-08,8.00E-09,5.20E-07,9.36E-05,8.11E-05,0.000319234,0.004355364,0.000683877,5.94E-07,0.000199702,0.000323293,1.27E-06,0.3037524,0.01679285,3.36E-21,8.05E-10,0.0059981,0.00137618,0.121278,0.01623502,4.43E-05,8.55E-05
75600,70.59565978,260.084,0.01779192,0.07365385,0.000947963,0.002320875,2.54E-05,1.81E-06,0.000108935,9.10E-06,1.90E-06,1.67E-07,1.07E-08,1.08E-05,0.000363338,9.88E-05,0.000135643,0.001024259,1.54E-05,3.89E-07,4.83E-05,1.79E-18,2.19E-18,0.004404826,0.007273473,0.005357399,0.000412545,0.000245055,2.82E-10,8.69E-05,2.93E-08,2.76E-19,3.32E-19,4.02E-05,3.06E-06,3.17E-08,7.92E-09,5.16E-07,9.34E-05,8.08E-05,0.000318078,0.004308527,0.000677904,5.91E-07,0.000198614,0.000322434,1.24E-06,0.2990962,0.01652123,1.41E-21,7.96E-10,0.005970254,0.001362549,0.1199034,0.01605166,4.42E-05,8.52E-05
77400,70.59565978,259.9265,0.01732404,0.07220078,0.000930819,0.002278901,2.53E-05,1.78E-06,0.00010851,9.07E-06,1.88E-06,1.65E-07,1.06E-08,1.07E-05,0.000361719,9.76E-05,0.000133128,0.001018357,1.53E-05,3.83E-07,4.79E-05,4.17E-19,5.09E-19,0.004311795,0.007180287,0.005326252,0.000409487,0.000243708,2.73E-10,8.66E-05,2.76E-08,6.43E-20,7.72E-20,4.01E-05,3.02E-06,3.12E-08,7.78E-09,5.09E-07,9.29E-05,8.03E-05,0.000316319,0.004213473,0.000666472,5.86E-07,0.000196755,0.000321158,1.20E-06,0.2893026,0.01595041,3.37E-22,7.82E-10,0.00592894,0.001336092,0.1170962,0.01567673,4.41E-05,8.46E-05
79200,70.59565978,259.8208,0.01670662,0.07026473,0.00090791,0.002222815,2.51E-05,1.74E-06,0.000107856,9.03E-06,1.85E-06,1.61E-07,1.04E-08,1.06E-05,0.000359239,9.60E-05,0.000129771,0.001009368,1.52E-05,3.74E-07,4.74E-05,4.69E-20,5.73E-20,0.004188105,0.007052449,0.005280375,0.000405101,0.000241702,2.60E-10,8.61E-05,2.54E-08,7.23E-21,8.68E-21,3.98E-05,2.97E-06,3.05E-08,7.59E-09,4.99E-07,9.23E-05,7.96E-05,0.000313684,0.004087506,0.000651177,5.79E-07,0.000194172,0.000319194,1.14E-06,0.2764865,0.0152038,3.91E-23,7.63E-10,0.005866393,0.001300508,0.1133742,0.01517963,4.38E-05,8.37E-05
81000,70.59565978,259.7604,0.01626465,0.06865473,0.000889238,0.002177099,2.48E-05,1.69E-06,0.000106918,8.96E-06,1.81E-06,1.57E-07,1.01E-08,1.04E-05,0.000355681,9.45E-05,0.000126934,0.000996535,1.50E-05,3.63E-07,4.67E-05,1.96E-21,2.40E-21,0.004089217,0.006927114,0.005218204,0.000399997,0.000239002,2.43E-10,8.53E-05,2.27E-08,3.03E-22,3.63E-22,3.95E-05,2.91E-06,2.95E-08,7.34E-09,4.87E-07,9.15E-05,7.87E-05,0.000310039,0.003991563,0.00063796,5.70E-07,0.00019135,0.000316366,1.07E-06,0.2677376,0.0146945,1.72E-24,7.39E-10,0.005777514,0.001270503,0.110564,0.0148052,4.35E-05,8.26E-05
82800,70.59565978,259.7462,0.01558345,0.06629414,0.000861345,0.002108811,2.45E-05,1.63E-06,0.000105548,8.86E-06,1.75E-06,1.51E-07,9.75E-09,1.02E-05,0.000350507,9.25E-05,0.000122783,0.000978026,1.47E-05,3.49E-07,4.58E-05,1.92E-23,2.35E-23,0.003942173,0.006745246,0.005130215,0.000392565,0.000235111,2.23E-10,8.43E-05,1.97E-08,2.97E-24,3.56E-24,3.90E-05,2.82E-06,2.83E-08,7.03E-09,4.71E-07,9.03E-05,7.73E-05,0.000304813,0.003846568,0.000618713,5.58E-07,0.000187347,0.000312236,9.74E-07,0.2542379,0.01391056,1.80E-26,7.10E-10,0.005650145,0.001225698,0.1062946,0.01423562,0.000042999,8.11E-05
