time,ENV.pressure.Pa,ENV.temperature.K,PHOT.jbrcl.s-1,PHOT.jbro.s-1,PHOT.jbrono2_a.s-1,PHOT.jbrono2_b.s-1,PHOT.jccl4.s-1,PHOT.jcf2cl2.s-1,PHOT.jcf2clbr.s-1,PHOT.jcf3br.s-1,PHOT.jcfc113.s-1,PHOT.jcfc114.s-1,PHOT.jcfc115.s-1,PHOT.jcfcl3.s-1,PHOT.jch2br2.s-1,PHOT.jch2o_a.s-1,PHOT.jch2o_b.s-1,PHOT.jchbr3.s-1,PHOT.jch3ccl3.s-1,PHOT.jch3cl.s-1,PHOT.jch3ooh.s-1,PHOT.jch4_a.s-1,PHOT.jch4_b.s-1,PHOT.jcl2.s-1,PHOT.jcl2o2.s-1,PHOT.jclo.s-1,PHOT.jclono2_a.s-1,PHOT.jclono2_b.s-1,PHOT.jco2.s-1,PHOT.jh2402.s-1,PHOT.jh2o_a.s-1,PHOT.jh2o_b.s-1,PHOT.jh2o_c.s-1,PHOT.jhbr.s-1,PHOT.jhcfc141b.s-1,PHOT.jhcfc142b.s-1,PHOT.jhcfc22.s-1,PHOT.jhcl.s-1,PHOT.jhno3.s-1,PHOT.jho2no2_a.s-1,PHOT.jho2no2_b.s-1,PHOT.jhobr.s-1,PHOT.jhocl.s-1,PHOT.jn2o.s-1,PHOT.jn2o5_a.s-1,PHOT.jn2o5_b.s-1,PHOT.jno.s-1,PHOT.jno3_a.s-1,PHOT.jno3_b.s-1,PHOT.jo2_a.s-1,PHOT.jo2_b.s-1,PHOT.jo3_a.s-1,PHOT.jo3_b.s-1,PHOT.joclo.s-1,PHOT.jno2.s-1,PHOT.jch3br.s-1,PHOT.jh2o2.s-1
0,70.59565978,261.3383,0.01483652,0.06240091,0.000817973,0.002002624,2.34E-05,1.45E-06,0.000100828,8.54E-06,1.59E-06,1.34E-07,8.76E-09,9.56E-06,0.000332573,8.84E-05,0.000115529,0.000918111,1.39E-05,3.09E-07,4.34E-05,2.85E-31,3.49E-31,0.003719001,0.006345481,0.004857771,0.000372458,0.000223104,1.71E-10,8.07E-05,1.28E-08,4.41E-32,5.29E-32,3.74E-05,2.57E-06,2.49E-08,6.16E-09,4.24E-07,8.64E-05,7.29E-05,0.000288018,0.00365408,0.000584834,5.20E-07,0.000178471,0.000298418,7.28E-07,0.2440247,0.01339623,3.42E-34,6.34E-10,0.005241974,0.001154363,0.1006081,0.01349195,4.14E-05,7.67E-05
1800,70.59565978,261.5234,0.014168,0.05917314,0.00077976,0.001909068,2.24E-05,1.31E-06,9.63E-05,8.22E-06,1.47E-06,1.21E-07,8.01E-09,9.03E-06,0.000315344,8.51E-05,0.000109491,0.000861002,1.32E-05,2.79E-07,4.11E-05,0,0,0.003530978,0.005986958,0.004601939,0.000353538,0.000211688,1.37E-10,7.74E-05,9.15E-09,0,0,3.60E-05,2.37E-06,2.25E-08,5.53E-09,3.89E-07,8.27E-05,6.87E-05,0.000272183,0.003486616,0.000555989,4.90E-07,0.0001705,0.000285118,5.74E-07,0.2345078,0.01291865,0,5.82E-10,0.004854907,0.001087975,0.09567993,0.01284655,3.98E-05,7.26E-05
3600,70.59565978,261.7607,0.01285145,0.05375925,0.000705231,0.001726599,2.04E-05,1.10E-06,8.62E-05,7.48E-06,1.27E-06,1.03E-07,6.88E-09,8.08E-06,0.000277888,7.99E-05,9.95E-05,0.000735086,1.19E-05,2.35E-07,3.64E-05,0,0,0.003203602,0.005288792,0.004059333,0.000311867,0.000186222,9.49E-11,6.95E-05,5.41E-09,0,0,3.29E-05,2.06E-06,1.88E-08,4.62E-09,3.35E-07,7.51E-05,5.99E-05,0.000238395,0.003173755,0.000505055,4.36E-07,0.000152628,0.000254758,3.93E-07,0.2140234,0.01177601,0,5.02E-10,0.004029366,0.00094904,0.08658404,0.01162651,3.61E-05,6.39E-05
5400,70.59565978,261.9503,0.01163355,0.04804782,0.000602027,0.001473927,1.56E-05,7.34E-07,6.18E-05,5.61E-06,8.95E-07,6.98E-08,4.82E-09,6.04E-06,0.000190091,7.27E-05,8.82E-05,0.000462414,9.04E-06,1.59E-07,2.69E-05,0,0,0.002864537,0.004098241,0.002905863,0.000223658,0.000129738,4.23E-11,5.06E-05,1.88E-09,0,0,2.53E-05,1.46E-06,1.26E-08,3.11E-09,2.35E-07,5.72E-05,4.08E-05,0.000165204,0.002837115,0.000438152,3.23E-07,0.000119177,0.000183543,1.54E-07,0.2003213,0.01111154,0,3.50E-10,0.002351806,0.000731061,0.07751667,0.01040605,2.70E-05,4.58E-05
7200,70.59565978,262.1811,0.009281287,0.0347174,0.000357189,0.000874498,8.34E-08,3.76E-09,2.45E-07,2.39E-08,5.15E-09,3.74E-10,2.70E-11,3.78E-08,5.55E-07,3.45E-05,5.98E-05,3.38E-06,5.66E-08,8.39E-10,5.70E-06,0,0,0.002122963,0.001769011,0.000318065,3.63E-05,9.03E-06,1.42E-14,2.11E-07,2.00E-13,0,0,1.32E-07,8.42E-09,6.57E-11,1.65E-11,1.36E-09,1.22E-06,1.78E-06,1.69E-05,0.002006627,0.000266074,2.06E-09,3.71E-05,8.99E-07,5.78E-13,0.1671275,0.009404261,0,1.31E-12,7.75E-05,0.000392636,0.06032281,0.00810057,1.19E-07,7.12E-06
9000,70.59565978,262.2145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10800,70.59565978,262.3365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12600,70.59565978,262.4789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14400,70.59565978,262.6318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16200,70.59565978,262.8323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
