time,ENV.pressure.Pa,ENV.temperature.K,PHOT.jbrcl.s-1,PHOT.jbro.s-1,PHOT.jbrono2_a.s-1,PHOT.jbrono2_b.s-1,PHOT.jccl4.s-1,PHOT.jcf2cl2.s-1,PHOT.jcf2clbr.s-1,PHOT.jcf3br.s-1,PHOT.jcfc113.s-1,PHOT.jcfc114.s-1,PHOT.jcfc115.s-1,PHOT.jcfcl3.s-1,PHOT.jch2br2.s-1,PHOT.jch2o_a.s-1,PHOT.jch2o_b.s-1,PHOT.jchbr3.s-1,PHOT.jch3ccl3.s-1,PHOT.jch3cl.s-1,PHOT.jch3ooh.s-1,PHOT.jch4_a.s-1,PHOT.jch4_b.s-1,PHOT.jcl2.s-1,PHOT.jcl2o2.s-1,PHOT.jclo.s-1,PHOT.jclono2_a.s-1,PHOT.jclono2_b.s-1,PHOT.jco2.s-1,PHOT.jh2402.s-1,PHOT.jh2o_a.s-1,PHOT.jh2o_b.s-1,PHOT.jh2o_c.s-1,PHOT.jhbr.s-1,PHOT.jhcfc141b.s-1,PHOT.jhcfc142b.s-1,PHOT.jhcfc22.s-1,PHOT.jhcl.s-1,PHOT.jhno3.s-1,PHOT.jho2no2_a.s-1,PHOT.jho2no2_b.s-1,PHOT.jhobr.s-1,PHOT.jhocl.s-1,PHOT.jn2o.s-1,PHOT.jn2o5_a.s-1,PHOT.jn2o5_b.s-1,PHOT.jno.s-1,PHOT.jno3_a.s-1,PHOT.jno3_b.s-1,PHOT.jo2_a.s-1,PHOT.jo2_b.s-1,PHOT.jo3_a.s-1,PHOT.jo3_b.s-1,PHOT.joclo.s-1,PHOT.jno2.s-1,PHOT.jch3br.s-1,PHOT.jh2o2.s-1,,
0,5201.590993,213.8966,0.01468071,0.05454209,0.000523348,0.0012813,1.57E-09,1.00E-10,8.41E-09,3.77E-10,1.43E-10,9.71E-12,7.55E-13,1.00E-09,6.26E-09,4.09E-05,9.29E-05,1.42E-06,1.45E-09,2.31E-11,7.18E-06,0.00E+00,0.00E+00,0.003368471,0.002542063,0.000187762,4.41E-05,7.80E-06,1.53E-16,5.98E-09,1.23E-15,0.00E+00,0.00E+00,2.64E-09,2.26E-10,1.61E-12,4.33E-13,3.96E-11,4.92E-07,1.57E-06,1.61E-05,0.003125236,0.000391901,5.14E-11,2.17E-05,1.66E-08,6.81E-16,0.2328214,0.01023766,0.00E+00,1.96E-14,2.24E-05,0.000527841,0.09769607,0.0128083,1.89E-09,7.56E-06,,
1800,5201.590993,213.8227,0.01384721,0.0489771,0.000479821,0.001174735,3.72E-10,1.64E-11,4.05E-09,9.41E-11,2.76E-11,1.73E-12,1.52E-13,2.13E-10,1.53E-09,3.30E-05,8.33E-05,1.07E-06,3.15E-10,4.25E-12,6.10E-06,0,0,0.003066096,0.002261355,0.000120694,3.95E-05,6.33E-06,3.97E-18,2.68E-09,1.88E-17,0,0,6.08E-10,4.25E-11,2.65E-13,8.06E-14,7.88E-12,3.45E-07,1.24E-06,1.48E-05,0.0028928,0.000348422,9.95E-12,1.76E-05,4.46E-09,1.05E-18,0.2200956,0.009667525,0,4.71E-15,1.23E-05,0.000489905,0.09087052,0.01192875,4.56E-10,6.29E-06,,
3600,5201.590993,213.7641,0.01214402,0.03944296,0.000402849,0.000986285,1.94E-10,7.38E-12,1.98E-09,4.98E-11,1.33E-11,8.08E-13,7.43E-14,1.06E-10,7.92E-10,2.22E-05,6.67E-05,6.70E-07,1.59E-10,2.01E-12,4.54E-06,0,0,0.002529918,0.001810935,5.51E-05,3.21E-05,4.43E-06,2.06E-21,1.36E-09,3.06E-21,0,0,3.13E-10,2.03E-11,1.20E-13,3.84E-14,3.85E-12,1.98E-07,8.30E-07,1.31E-05,0.002463843,0.000277739,4.81E-12,1.24E-05,2.40E-09,8.30E-25,0.1924424,0.008419557,0,2.47E-15,5.10E-06,0.00041794,0.07780408,0.01023765,2.39E-10,4.53E-06,,
5400,5201.590993,213.7149,0.009964081,0.02630257,0.000302685,0.000741057,8.75E-11,3.32E-12,5.11E-10,2.25E-11,6.00E-12,3.64E-13,3.35E-14,4.78E-11,3.58E-10,9.66E-06,4.37E-05,2.71E-07,7.17E-11,9.04E-13,2.64E-06,0,0,0.001794531,0.001230416,8.08E-06,2.27E-05,2.30E-06,4.53E-32,3.83E-10,1.31E-33,0,0,1.42E-10,9.13E-12,5.38E-14,1.73E-14,1.73E-12,6.92E-08,3.98E-07,1.14E-05,0.001903034,0.000185443,2.16E-12,6.43E-06,1.08E-09,0.00E+00,0.159696,0.007001889,0,1.12E-15,1.22E-06,0.000338479,0.05997832,0.007927271,1.08E-10,2.46E-06,,
7200,5201.590993,213.6766,0.000834889,0.000492186,1.70E-05,4.17E-05,9.67E-12,3.86E-13,2.84E-11,2.46E-12,6.89E-13,4.19E-14,3.81E-15,5.43E-12,3.89E-11,1.10E-07,7.51E-07,3.71E-09,8.08E-12,1.04E-13,4.31E-08,0,0,5.55E-05,4.06E-05,1.74E-07,7.07E-07,3.49E-08,0.00E+00,2.22E-11,0.00E+00,0,0,1.57E-11,1.05E-12,6.19E-15,1.97E-15,1.98E-13,9.82E-10,5.58E-09,9.84E-06,0.00013207,4.59E-06,2.47E-13,1.06E-07,1.20E-10,0.00E+00,0.04297667,0.002690854,0,1.22E-16,2.51E-08,0.000115268,0.002351124,0.000275432,1.18E-11,3.66E-08,,
9000,5201.590993,213.6395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10800,5201.590993,213.6234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
12600,5201.590993,213.6262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14400,5201.590993,213.6471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
16200,5201.590993,213.6944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
