time,ENV.pressure.Pa,ENV.temperature.K,PHOT.jbrcl.s-1,PHOT.jbro.s-1,PHOT.jbrono2_a.s-1,PHOT.jbrono2_b.s-1,PHOT.jccl4.s-1,PHOT.jcf2cl2.s-1,PHOT.jcf2clbr.s-1,PHOT.jcf3br.s-1,PHOT.jcfc113.s-1,PHOT.jcfc114.s-1,PHOT.jcfc115.s-1,PHOT.jcfcl3.s-1,PHOT.jch2br2.s-1,PHOT.jch2o_a.s-1,PHOT.jch2o_b.s-1,PHOT.jchbr3.s-1,PHOT.jch3ccl3.s-1,PHOT.jch3cl.s-1,PHOT.jch3ooh.s-1,PHOT.jch4_a.s-1,PHOT.jch4_b.s-1,PHOT.jcl2.s-1,PHOT.jcl2o2.s-1,PHOT.jclo.s-1,PHOT.jclono2_a.s-1,PHOT.jclono2_b.s-1,PHOT.jco2.s-1,PHOT.jh2402.s-1,PHOT.jh2o_a.s-1,PHOT.jh2o_b.s-1,PHOT.jh2o_c.s-1,PHOT.jhbr.s-1,PHOT.jhcfc141b.s-1,PHOT.jhcfc142b.s-1,PHOT.jhcfc22.s-1,PHOT.jhcl.s-1,PHOT.jhno3.s-1,PHOT.jho2no2_a.s-1,PHOT.jho2no2_b.s-1,PHOT.jhobr.s-1,PHOT.jhocl.s-1,PHOT.jn2o.s-1,PHOT.jn2o5_a.s-1,PHOT.jn2o5_b.s-1,PHOT.jno.s-1,PHOT.jno3_a.s-1,PHOT.jno3_b.s-1,PHOT.jo2_a.s-1,PHOT.jo2_b.s-1,PHOT.jo3_a.s-1,PHOT.jo3_b.s-1,PHOT.joclo.s-1,PHOT.jno2.s-1,PHOT.jch3br.s-1,PHOT.jh2o2.s-1,,
0,1246.014982,227.4578,0.01475358,0.05701955,0.000552979,0.001353845,5.59E-07,4.19E-08,1.33E-06,1.39E-07,5.34E-08,3.90E-09,2.78E-10,3.47E-07,2.53E-06,5.14E-05,0.000101932,7.16E-06,4.97E-07,9.06E-09,8.66E-06,0.00E+00,0.00E+00,0.003478161,0.002791642,0.000396654,5.23E-05,1.22E-05,6.98E-13,1.16E-06,1.86E-11,0.00E+00,0.00E+00,9.42E-07,8.63E-08,6.90E-10,1.74E-10,1.44E-08,4.06E-06,3.22E-06,2.21E-05,0.00321407,0.000423595,1.90E-08,3.54E-05,5.27E-06,1.04E-09,0.2369209,0.01139966,0.00E+00,7.68E-12,8.39E-05,0.000553271,0.09884815,0.01299614,7.04E-07,1.01E-05,,
1800,1246.014982,227.5016,0.01404369,0.05276183,0.000515412,0.00126187,2.01E-07,1.59E-08,4.60E-07,4.80E-08,2.03E-08,1.47E-09,1.04E-10,1.31E-07,8.44E-07,4.47E-05,9.41E-05,3.52E-06,1.86E-07,3.43E-09,7.61E-06,0,0,0.003243044,0.002546138,0.000302143,4.66E-05,9.76E-06,1.76E-13,4.09E-07,3.91E-12,0,0,3.41E-07,3.27E-08,2.60E-10,6.49E-11,5.44E-09,1.94E-06,2.24E-06,1.86E-05,0.003018881,0.000388466,7.26E-09,3.05E-05,1.86E-06,1.69E-10,0.2263601,0.01088555,0,2.66E-12,5.60E-05,0.000521377,0.09330077,0.01227369,2.47E-07,8.61E-06,,
3600,1246.014982,227.5704,0.01263004,0.04541185,0.000449957,0.001101619,3.90E-08,2.56E-09,9.48E-08,9.49E-09,3.51E-09,2.47E-10,1.83E-11,2.40E-08,1.65E-07,3.46E-05,8.09E-05,1.64E-06,3.46E-08,5.77E-10,6.11E-06,0,0,0.002825839,0.002151354,0.00018821,3.91E-05,7.17E-06,1.15E-14,8.16E-08,1.75E-13,0,0,6.51E-08,5.63E-09,4.23E-11,1.09E-11,9.54E-10,7.15E-07,1.45E-06,1.56E-05,0.002663224,0.00032976,1.28E-09,2.36E-05,3.93E-07,3.26E-12,0.2038038,0.009777441,0,5.08E-13,2.89E-05,0.000460067,0.08289151,0.01091352,4.82E-08,6.67E-06,,
5400,1246.014982,227.6236,0.01114863,0.0356971,0.000372042,0.000910862,5.02E-09,1.56E-10,1.52E-08,1.39E-09,2.86E-10,1.78E-11,1.61E-12,2.35E-09,2.54E-08,2.07E-05,6.34E-05,7.07E-07,3.62E-09,4.29E-11,4.18E-06,0,0,0.00229586,0.001653925,6.21E-05,3.04E-05,4.32E-06,2.40E-18,1.19E-08,9.85E-18,0,0,8.00E-09,4.45E-10,2.74E-12,8.67E-13,8.15E-11,2.37E-07,7.94E-07,1.30E-05,0.002253138,0.000253208,1.09E-10,1.49E-05,6.01E-08,3.19E-18,0.1829355,0.008816509,0,7.00E-14,6.57E-06,0.000398318,0.07071333,0.009329011,6.67E-09,4.31E-06,,
7200,1246.014982,227.6837,0.004596823,0.00619005,0.000117236,0.000287027,4.54E-10,1.36E-11,1.25E-09,1.28E-10,2.52E-11,1.56E-12,1.43E-13,2.08E-10,2.36E-09,5.73E-07,1.01E-05,2.96E-08,3.22E-10,3.76E-12,4.86E-07,0,0,0.000541793,0.000360019,3.51E-07,7.69E-06,3.58E-07,0.00E+00,1.00E-09,0.00E+00,0,0,7.24E-10,3.91E-11,2.39E-13,7.66E-14,7.18E-12,7.60E-09,4.86E-08,1.00E-05,0.000762641,5.10E-05,9.58E-12,1.42E-06,5.44E-09,0.00E+00,0.06256001,0.002821421,0,6.42E-15,1.28E-07,0.000138083,0.02280138,0.003023745,6.10E-10,3.82E-07,,
9000,1246.014982,227.6889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10800,1246.014982,227.7173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
12600,1246.014982,227.7591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14400,1246.014982,227.8139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
16200,1246.014982,227.8933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
